,x,y,labels,ACE2,TMPRSS2,EPCAM,a_labels,t_labels,e_labels
151,8.78850174,-7.819137573,0,0.0,0.0,0.0,0,0,0
152,8.969312668,-8.783712387,0,0.0,0.0,0.0,0,0,0
153,9.679548264,-8.355651855,0,0.0,0.0,0.0,0,0,0
154,9.141980171,-7.658982754,0,0.0,0.0,0.0,0,0,0
155,8.956868172,-8.066329002,0,0.0,0.0,0.0,0,0,0
156,8.759732246,-7.579691887,0,0.0,0.0,0.0,0,0,0
157,8.485117912,-8.00485611,0,0.0,0.0,0.0,0,0,0
158,9.594788551,-8.323968887,0,0.0,0.0,0.0,0,0,0
159,9.14785099,-9.022660255,0,0.0,0.0,0.0,0,0,0
160,9.036128044,-7.579972744,0,0.0,0.0,0.0,0,0,0
161,8.783005714,-8.175461769,0,0.0,0.0,0.0,0,0,0
162,9.441724777,-8.219065666,0,0.0,0.0,0.0,0,0,0
163,9.861681938,-8.096809387,0,0.0,0.0,0.0,0,0,0
164,9.6460886,-8.693610191,0,0.0,0.0,0.0,0,0,0
165,9.25155735,-8.459535599,0,0.0,0.0,0.0,0,0,0
166,9.156993866,-8.932032585,0,0.0,0.0,0.0,0,0,0
167,9.201749802,-8.243974686,0,0.0,0.0,0.0,0,0,0
168,9.610318184,-8.954584122,0,0.0,0.0,0.0,0,0,0
169,9.631545067,-8.383533478,0,0.0,0.0,0.0,0,0,0
170,9.379723549,-8.71617794,0,0.0,0.0,0.0,0,0,0
171,8.435940742,-8.751725197,0,0.0,0.0,0.0,0,0,0
172,9.843144417,-8.447453499,0,0.0,1.035388708,0.0,0,0,0
173,9.823235512,-8.4320755,0,0.0,0.0,0.0,0,0,0
174,9.751683235,-8.064604759,0,0.0,0.0,0.0,0,0,0
175,9.172945023,-8.485546112,0,0.0,0.0,0.0,0,0,0
176,9.462427139,-7.747550488,0,0.0,0.0,0.0,0,0,0
177,9.511049271,-8.954017639,0,0.0,0.0,0.0,0,0,0
178,9.719542503,-8.470862389,0,0.0,0.0,0.0,0,0,0
179,9.287712097,-7.834445953,0,0.0,0.0,0.0,0,0,0
180,9.794978142,-8.491433144,0,0.0,0.0,0.0,0,0,0
181,9.369849205,-7.96211195,0,0.0,0.0,0.0,0,0,0
182,9.089969635,-8.097476006,0,0.0,0.0,0.0,0,0,0
183,8.990631104,-8.598114014,0,0.0,0.0,0.0,0,0,0
184,9.325537682,-8.503266335,0,0.0,0.0,0.0,0,0,0
185,9.283489227,-8.854498863,0,0.0,0.0,0.0,0,0,0
186,8.45578289,-8.449145317,0,0.0,0.0,0.0,0,0,0
187,8.037402153,-8.151925087,0,0.0,0.0,0.0,0,0,0
188,8.616920471,-7.880940437,0,0.0,0.0,0.0,0,0,0
189,9.471563339,-7.676735878,0,0.0,0.0,0.0,0,0,0
190,8.354506493,-8.259994507,0,0.0,0.0,0.0,0,0,0
191,8.075446129,-8.199749947,0,0.0,0.0,0.0,0,0,0
192,9.611022949,-9.391881943,0,0.0,0.0,0.0,0,0,0
193,9.552449226,-7.912950993,0,0.0,0.0,0.0,0,0,0
194,8.239670753,-7.89953804,0,0.0,0.0,0.0,0,0,0
195,9.650354385,-8.404595375,0,0.0,0.0,0.0,0,0,0
196,9.07539463,-7.71856451,0,0.0,0.0,0.0,0,0,0
197,9.482653618,-8.507318497,0,0.0,0.0,0.0,0,0,0
198,9.760641098,-7.846440315,0,0.0,0.0,0.0,0,0,0
199,9.937529564,-7.883215427,0,0.0,0.0,0.0,0,0,0
200,8.550879478,-8.287241936,0,0.0,0.0,0.0,0,0,0
201,8.447038651,-8.833787918,0,0.0,0.0,0.0,0,0,0
202,9.755705833,-8.02569294,0,0.0,0.0,0.0,0,0,0
203,9.03549099,-7.356589317,0,0.0,0.0,0.0,0,0,0
204,8.298388481,-8.565066338,0,0.0,0.0,0.0,0,0,0
205,9.864131927,-7.971034527,0,0.0,0.0,0.0,0,0,0
206,8.712537766,-7.79920435,0,0.0,0.0,0.0,0,0,0
207,8.670512199,-7.720074177,0,0.0,0.0,0.0,0,0,0
208,9.777963638,-7.859472752,0,0.0,0.0,0.0,0,0,0
209,8.847902298,-8.133480072,0,0.0,0.0,0.0,0,0,0
210,8.139499664,-8.167415619,0,0.0,0.0,0.0,0,0,0
211,8.575825691,-8.331588745,0,0.0,0.0,0.0,0,0,0
212,9.703590393,-7.809431076,0,0.0,0.0,0.0,0,0,0
213,8.802847862,-8.568922997,0,0.0,0.0,0.0,0,0,0
214,9.057927132,-7.698580742,0,0.0,0.0,0.0,0,0,0
215,8.793607712,-8.755932808,0,0.0,0.0,0.0,0,0,0
216,8.783025742,-8.566957474,0,0.0,0.0,0.0,0,0,0
217,8.682191849,-7.935168266,0,0.0,0.0,0.0,0,0,0
218,9.822253227,-8.229397774,0,0.0,0.0,0.0,0,0,0
219,9.894818306,-8.095127106,0,0.0,0.0,0.0,0,0,0
220,9.573043823,-8.056194305,0,0.0,0.0,0.0,0,0,0
221,8.888530731,-8.518455505,0,0.0,0.0,0.0,0,0,0
222,8.007006645,-8.383145332,0,0.0,0.0,0.0,0,0,0
223,9.635874748,-9.179531097,0,0.0,0.0,0.0,0,0,0
224,9.291977882,-8.382840157,0,0.0,0.0,0.0,0,0,0
225,8.605334282,-8.594732285,0,0.0,0.0,0.0,0,0,0
226,8.812569618,-8.688984871,0,0.0,0.0,0.0,0,0,0
227,8.905286789,-7.64657402,0,0.0,0.0,0.0,0,0,0
228,9.10926342,-8.25831604,0,0.0,0.0,0.0,0,0,0
229,8.393060684,-7.882184029,0,0.0,0.0,0.0,0,0,0
230,8.744214058,-8.549178123,0,0.0,0.0,0.0,0,0,0
231,8.449659348,-7.677829266,0,0.0,0.0,0.0,0,0,0
232,8.47594738,-7.836053848,0,0.0,0.0,0.0,0,0,0
233,9.551953316,-8.065365791,0,0.0,0.0,0.0,0,0,0
234,9.791439056,-8.273511887,0,0.0,0.0,0.0,0,0,0
235,8.864596367,-7.902802944,0,0.0,0.0,0.0,0,0,0
236,9.13186264,-8.958614349,0,0.0,0.0,0.0,0,0,0
237,8.975069046,-8.430552483,0,0.0,0.0,0.0,0,0,0
238,9.236937523,-7.536283016,0,0.0,0.0,0.0,0,0,0
239,8.940789223,-7.889720917,0,0.0,0.0,0.0,0,0,0
240,9.150161743,-7.880152225,0,0.0,0.0,0.0,0,0,0
241,8.728832245,-8.400455475,0,0.0,0.0,0.0,0,0,0
